date,fund_name,amc,category,expense_ratio,nav,monthly_return
2015-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,25.0,0.023141
2015-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,24.2668,-0.029327
2015-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,24.861,0.024487
2015-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,25.4033,0.02181
2015-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,24.2457,-0.045568
2015-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,23.4512,-0.032768
2015-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,23.7746,0.013789
2015-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,23.5817,-0.008113
2015-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,23.992,0.017399
2015-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,23.7231,-0.011209
2015-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,24.5497,0.034843
2015-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,25.2412,0.02817
2016-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,25.4266,0.007343
2016-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,26.3733,0.037235
2016-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,26.9814,0.023056
2016-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,26.3371,-0.02388
2016-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,26.9801,0.024416
2016-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,26.3066,-0.024964
2016-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,27.1736,0.032956
2016-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,27.6856,0.018842
2016-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,27.5884,-0.003512
2016-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,26.8745,-0.025876
2016-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,28.2063,0.049556
2016-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,27.829,-0.013374
2017-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,27.7383,-0.00326
2017-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,27.8736,0.004878
