customer_id,age,income_lpa,occupation,city_tier,education,marital_status,dependents,sip_amount,sip_tenure_months,sip_frequency,fund_category,number_of_sips,missed_payments,delayed_payments,consecutive_missed,payment_failure_rate,portfolio_return_pct,benchmark_return_pct,relative_return,nav_volatility,market_downturn_flag,app_logins_last_3m,support_calls_last_6m,portfolio_reviews_last_yr,grievances_raised,email_open_rate,last_login_days_ago,credit_score,existing_loans,loan_emi_pct_income,savings_rate_pct,churn
CUST00001,25,3.6,Salaried,3,Professional,Married,0,7500,16,Quarterly,Equity,3,0,2,0,0.003,16.13,8.25,7.88,20.49,0,12,0,5,3,0.556,68,708,4,7.35,12.93,1
CUST00002,55,5.83,Business,3,Graduate,Married,4,3000,68,Monthly,Debt,4,0,1,3,0.089,14.34,10.15,4.19,21.79,0,4,9,4,2,0.466,23,618,2,8.89,18.76,0
CUST00003,50,9.09,Salaried,2,Post-Graduate,Married,2,3000,95,Monthly,Equity,1,0,1,3,0.198,7.86,13.39,-5.53,11.24,1,2,9,3,2,0.317,174,582,1,18.06,7.39,0
CUST00004,40,5.49,Business,3,Post-Graduate,Married,2,3000,38,Monthly,Equity,5,1,2,0,0.079,-5.83,3.8,-9.63,25.21,0,11,1,7,0,0.418,90,612,0,1.25,12.18,0
CUST00005,40,6.89,Salaried,2,Graduate,Married,4,25000,56,Monthly,Debt,2,0,0,1,0.105,6.45,14.93,-8.48,15.1,0,25,3,12,1,0.546,58,565,0,9.06,25.0,0
CUST00006,58,9.77,Salaried,2,Graduate,Single,4,5000,103,Monthly,ELSS,5,0,0,3,0.165,6.11,9.21,-3.1,21.41,0,8,2,4,1,0.221,49,752,0,17.42,9.88,0
CUST00007,25,6.6,Salaried,1,Post-Graduate,Married,1,500,107,Monthly,Debt,3,2,0,2,0.092,8.23,12.05,-3.82,5.94,0,8,4,12,1,0.335,168,589,2,19.48,23.81,1
CUST00008,51,8.9,Business,1,Post-Graduate,Married,4,20000,108,Monthly,Equity,3,2,2,0,0.086,9.35,12.84,-3.49,18.96,0,12,0,1,2,0.531,134,650,2,9.99,14.0,1
CUST00009,30,14.37,Salaried,1,Graduate,Single,2,2000,87,Monthly,Debt,5,2,2,3,0.23,11.01,9.57,1.44,19.83,0,12,0,5,2,0.606,22,611,3,17.7,28.72,1
CUST00010,26,7.31,Salaried,2,Graduate,Married,2,3000,38,Monthly,Equity,1,1,1,3,0.042,3.57,12.05,-8.48,16.51,0,27,9,10,3,0.457,132,550,0,21.68,15.05,0
CUST00011,44,12.72,Salaried,2,Graduate,Single,4,7500,18,Monthly,Debt,5,1,0,3,0.081,17.19,10.11,7.08,7.94,0,28,8,4,3,0.443,69,705,4,18.81,24.16,1
CUST00012,63,10.24,Salaried,1,Graduate,Single,4,1000,89,Monthly,Equity,5,1,0,1,0.068,22.7,13.22,9.48,18.26,0,14,8,1,3,0.279,58,824,0,18.54,22.76,0
CUST00013,53,2.5,Retired,1,Professional,Single,4,2000,8,Monthly,Hybrid,2,0,2,2,0.178,7.27,12.74,-5.47,6.4,0,24,2,8,2,0.25,141,824,4,16.08,39.49,0
CUST00014,54,3.59,Salaried,2,Graduate,Married,0,10000,115,Monthly,ELSS,2,1,0,0,0.048,10.96,14.67,-3.71,4.53,0,24,7,5,0,0.428,30,842,0,21.18,30.37,0
CUST00015,52,4.67,Salaried,3,Post-Graduate,Married,0,1000,28,Monthly,Debt,2,0,0,0,0.046,1.27,18.75,-17.48,15.44,0,3,1,0,1,0.557,111,661,4,24.41,33.16,0
CUST00016,55,4.58,Salaried,2,Post-Graduate,Divorced,1,3000,53,Monthly,Equity,4,2,1,2,0.009,0.51,8.38,-7.87,16.4,0,4,1,8,1,0.09,107,687,0,30.24,19.55,1
CUST00017,44,7.64,Salaried,3,Professional,Single,1,1000,120,Monthly,ELSS,1,0,0,1,0.184,20.05,13.38,6.67,27.14,0,19,8,10,2,0.566,33,636,4,17.27,29.82,0
CUST00018,27,10.46,Salaried,3,Graduate,Single,3,2000,12,Monthly,Equity,3,2,1,1,0.114,16.88,9.44,7.44,17.99,0,30,3,0,3,0.199,55,759,3,23.2,26.81,0
CUST00019,58,13.02,Salaried,3,Post-Graduate,Married,0,7500,72,Monthly,Equity,1,0,0,2,0.02,10.17,11.83,-1.66,17.87,0,11,1,9,2,0.25,108,656,4,13.83,14.61,0
CUST00020,41,9.23,Salaried,3,Post-Graduate,Married,1,20000,101,Monthly,Equity,1,2,0,0,0.079,13.08,9.57,3.51,11.82,0,25,2,3,3,0.126,165,725,3,17.13,22.7,1
CUST00021,43,6.22,Salaried,2,Graduate,Single,3,5000,21,Quarterly,ELSS,3,2,1,0,0.32,13.73,11.19,2.54,16.54,0,24,6,7,1,0.39,13,787,4,4.44,25.29,0
CUST00022,37,2.5,Salaried,3,Graduate,Married,2,2000,82,Monthly,Equity,1,0,0,3,0.194,1.03,5.43,-4.4,9.74,0,17,4,7,1,0.428,145,638,2,18.39,24.69,1
CUST00023,29,8.28,Business,1,Professional,Divorced,3,1000,91,Monthly,Index,4,0,1,3,0.162,-1.34,7.31,-8.65,19.07,0,24,7,3,1,0.254,28,773,3,2.74,6.07,0
CUST00024,61,8.1,Salaried,3,Graduate,Divorced,4,3000,92,Monthly,Hybrid,1,1,0,0,0.181,-3.27,20.06,-23.33,20.98,0,3,6,9,1,0.415,123,810,4,15.81,25.78,0
CUST00025,55,8.73,Self-Employed,2,Graduate,Married,4,7500,28,Annual,ELSS,5,1,2,2,0.004,12.02,23.3,-11.28,16.66,0,8,9,0,0,0.504,11,645,3,17.26,34.39,0
CUST00026,49,16.42,Self-Employed,1,Post-Graduate,Married,4,7500,80,Annual,Debt,2,1,2,3,0.096,19.57,13.8,5.77,10.72,0,20,3,0,1,0.614,111,788,3,39.42,39.94,0
CUST00027,39,12.96,Retired,3,Graduate,Married,3,2000,69,Annual,Equity,5,0,1,3,0.236,14.23,7.21,7.02,14.57,1,9,8,10,1,0.454,47,784,0,32.04,9.12,1
CUST00028,57,11.14,Salaried,3,Graduate,Married,2,1000,52,Monthly,Debt,2,1,0,3,0.322,4.39,15.32,-10.93,20.25,0,3,1,1,3,0.445,66,630,1,11.94,12.77,1
CUST00029,45,4.15,Business,3,Graduate,Married,3,3000,60,Monthly,Hybrid,3,2,1,3,0.172,-6.08,20.91,-26.99,13.59,0,6,2,5,1,0.574,141,573,3,25.29,20.4,1
CUST00030,41,5.95,Business,3,Graduate,Single,3,10000,116,Monthly,Debt,2,2,1,0,0.166,17.08,8.18,8.9,12.63,0,20,4,11,2,0.166,147,618,4,10.42,15.46,0
CUST00031,41,7.62,Student,3,Post-Graduate,Married,4,5000,7,Monthly,Equity,4,2,0,0,0.072,10.45,10.27,0.18,10.01,0,18,6,1,1,0.206,72,729,0,6.75,36.83,0
CUST00032,31,4.9,Business,2,Graduate,Married,3,3000,76,Monthly,Debt,5,1,1,1,0.063,9.26,11.03,-1.77,19.58,1,22,9,2,0,0.382,53,571,0,8.51,23.39,1
CUST00033,25,10.0,Salaried,3,Graduate,Married,2,5000,70,Monthly,Equity,5,1,2,0,0.03,11.85,13.61,-1.76,18.14,0,6,5,8,1,0.326,169,579,3,39.01,28.06,1
CUST00034,45,9.43,Retired,1,Post-Graduate,Married,2,1000,64,Monthly,Hybrid,3,1,0,2,0.256,4.28,10.33,-6.05,16.62,1,26,6,4,0,0.563,23,585,4,28.78,25.15,0
CUST00035,60,3.65,Business,1,Professional,Married,4,5000,107,Monthly,Hybrid,1,1,1,0,0.04,6.3,12.19,-5.89,17.45,0,20,2,6,3,0.34,28,591,0,12.86,7.67,1
CUST00036,24,12.79,Salaried,2,Post-Graduate,Single,1,1000,68,Monthly,Equity,1,0,2,3,0.048,6.21,12.53,-6.32,8.45,1,30,3,3,2,0.369,84,596,1,14.41,20.18,1
CUST00037,58,8.41,Salaried,2,Graduate,Married,1,1000,100,Monthly,Equity,2,2,0,0,0.091,14.1,2.13,11.97,14.19,0,2,0,10,0,0.479,13,749,0,21.08,16.69,0
CUST00038,57,2.5,Retired,2,Graduate,Single,3,1000,93,Monthly,Hybrid,1,2,1,3,0.003,4.03,7.12,-3.09,10.28,0,20,7,8,3,0.137,122,850,4,7.77,32.38,1
CUST00039,33,7.79,Salaried,3,Others,Married,3,5000,99,Quarterly,Equity,2,1,0,0,0.073,6.48,4.12,2.36,8.58,0,7,3,0,1,0.482,46,785,4,31.37,21.07,0
CUST00040,49,9.12,Business,1,Graduate,Single,1,20000,74,Monthly,Debt,3,2,2,0,0.021,4.79,12.73,-7.94,14.22,1,11,7,8,3,0.505,64,707,3,7.25,15.06,0
CUST00041,29,11.89,Salaried,3,Graduate,Married,0,1000,5,Monthly,Debt,4,0,1,0,0.04,4.01,7.6,-3.59,16.73,0,6,3,12,1,0.196,68,822,1,17.57,36.25,0
CUST00042,54,6.65,Business,2,Post-Graduate,Married,3,3000,11,Monthly,Debt,4,1,2,2,0.374,6.93,7.07,-0.14,16.25,0,29,5,5,3,0.559,145,825,3,5.25,42.55,0
